排出年,特定排出者コード,事業者・事業所名,区分,業種,所在地,温室効果ガス算定排出量(tCO2)
year,code,name,type,sector,location,tCO2
2021,985336900,日本製鉄株式会社,特定事業所排出者,鉄鋼業,東京都千代田区,81587947
2021,650003624,太平洋セメント株式会社,特定事業所排出者,窯業・土石製品製造業,東京都文京区,12293196
2021,640351830,東ソー株式会社,特定事業所排出者,化学工業,東京都港区,7619254
2021,985347206,住友大阪セメント株式会社,特定事業所排出者,窯業・土石製品製造業,東京都千代田区,7394542
2021,985052701,出光興産株式会社,特定事業所排出者,石油製品・石炭製品製造業,東京都千代田区,6937102
2021,640006257,株式会社トクヤマ,特定事業所排出者,化学工業,東京都千代田区,6335799
2021,710034905,大王製紙株式会社,特定事業所排出者,パルプ・紙・紙加工品製造業,愛媛県四国中央市,3255554
2021,650002304,ＵＢＥ株式会社,特定事業所排出者,化学工業,東京都港区,2517214
2021,985452408,電源開発株式会社,特定事業所排出者,電気業,東京都中央区,2511858
2021,986306852,王子マテリア株式会社,特定事業所排出者,パルプ・紙・紙加工品製造業,東京都中央区,2496734
2021,985451705,デンカ株式会社,特定事業所排出者,化学工業,東京都中央区,1947577
2021,985022102,ＡＧＣ株式会社,特定事業所排出者,窯業・土石製品製造業,東京都千代田区,1912464
2021,985651608,日本航空株式会社,特定航空輸送事業者,航空運輸業,東京都品川区,1716775
2021,581100003,西日本旅客鉄道株式会社,特定旅客輸送事業者,鉄道業,大阪府大阪市,1300000
2021,985390806,大平洋金属株式会社,特定事業所排出者,鉄鋼業,青森県八戸市,1220691
2021,400072412,大同特殊鋼株式会社,特定事業所排出者,鉄鋼業,愛知県名古屋市,1169345
2021,580046998,株式会社カネカ,特定事業所排出者,化学工業,大阪府大阪市,1059580
2021,580006446,レンゴー株式会社,特定事業所排出者,パルプ・紙・紙加工品製造業,大阪府大阪市,858147
2021,400108408,株式会社デンソー,特定事業所排出者,輸送用機械器具製造業,愛知県刈谷市,812273
2021,985330101,信越化学工業株式会社,特定事業所排出者,化学工業,東京都千代田区,798941
2021,985346700,住友金属鉱山株式会社,特定事業所排出者,非鉄金属製造業,東京都港区,775404
2021,985793309,三菱瓦斯化学株式会社,特定事業所排出者,化学工業,東京都千代田区,722907
2021,400004029,愛知製鋼株式会社,特定事業所排出者,鉄鋼業,愛知県東海市,722902
2021,985336900,日本製鉄株式会社,特定荷主,鉄鋼業,東京都千代田区,709906
2021,600002843,マツダ株式会社,特定事業所排出者,輸送用機械器具製造業,広島県府中町,640685
2021,980885721,株式会社ＵＡＣＪ,特定事業所排出者,非鉄金属製造業,東京都千代田区,610335
2021,580000845,シャープ株式会社,特定事業所排出者,電子部品・デバイス・電子回路製造業,大阪府堺市,597367
2021,985793701,三菱マテリアル株式会社,特定事業所排出者,非鉄金属製造業,東京都千代田区,581873
2021,500062007,京セラ株式会社,特定事業所排出者,電子部品・デバイス・電子回路製造業,京都府京都市,551467
2021,985660302,日本ゼオン株式会社,特定事業所排出者,化学工業,東京都千代田区,533189
2021,985786707,三井不動産株式会社,特定事業所排出者,不動産賃貸業・管理業,東京都中央区,528022
2021,500032634,日本電気硝子株式会社,特定事業所排出者,窯業・土石製品製造業,滋賀県大津市,522629
2021,986945521,株式会社ＳＵＭＣＯ,特定事業所排出者,電気機械器具製造業,東京都港区,482370
2021,985795009,三菱電機株式会社,特定事業所排出者,電気機械器具製造業,東京都千代田区,467408
2021,985757509,本田技研工業株式会社,特定事業所排出者,輸送用機械器具製造業,東京都港区,457923
2021,900001432,沖縄電力株式会社,特定事業所排出者,電気業,沖縄県浦添市,456805
2021,617001903,ＫＨネオケム株式会社,特定事業所排出者,化学工業,東京都中央区,446989
2021,985525308,東邦亜鉛株式会社,特定事業所排出者,非鉄金属製造業,東京都千代田区,433836
2021,985350103,セントラル硝子株式会社,特定事業所排出者,窯業・土石製品製造業,東京都千代田区,422627
2021,985670407,新日本電工株式会社,特定事業所排出者,鉄鋼業,東京都中央区,417168
2021,985176600,株式会社クレハ,特定事業所排出者,化学工業,東京都中央区,386009
2021,580028425,石原産業株式会社,特定事業所排出者,化学工業,大阪府大阪市,384735
2021,985052701,出光興産株式会社,特定荷主,石油製品・石炭製品製造業,東京都千代田区,375313
2021,985114901,花王株式会社,特定事業所排出者,化学工業,東京都中央区,356064
2021,580064771,日東電工株式会社,特定事業所排出者,パルプ・紙・紙加工品製造業,大阪府大阪市,349941
2021,985462709,東亞合成株式会社,特定事業所排出者,化学工業,東京都港区,337528
2021,986379330,東京地下鉄株式会社,特定旅客輸送事業者,鉄道業,東京都台東区,332000
2021,985681204,日本冶金工業株式会社,特定事業所排出者,鉄鋼業,東京都中央区,327421
2021,985794306,三菱重工業株式会社,特定事業所排出者,輸送用機械器具製造業,東京都千代田区,319826
2021,300057960,セイコーエプソン株式会社,特定事業所排出者,業務用機械器具製造業,長野県諏訪市,308476
2021,530004309,住友ゴム工業株式会社,特定事業所排出者,ゴム製品製造業,兵庫県神戸市,302430
2021,401103872,コカ・コーラボトラーズジャパン株式会社,特定事業所排出者,飲料・たばこ・飼料製造業,東京都港区,298196
2021,580002410,ダイキン工業株式会社,特定事業所排出者,はん用機械器具製造業,大阪府大阪市,297632
2021,985426300,中越パルプ工業株式会社,特定事業所排出者,パルプ・紙・紙加工品製造業,東京都千代田区,283149
2021,430105873,スズキ株式会社,特定事業所排出者,輸送用機械器具製造業,静岡県浜松市,277692
2021,580007523,ユニチカ株式会社,特定事業所排出者,繊維工業,大阪府大阪市,248603
2021,580212121,日本山村硝子株式会社,特定事業所排出者,窯業・土石製品製造業,兵庫県尼崎市,240152
2021,985141604,関東電化工業株式会社,特定事業所排出者,化学工業,東京都千代田区,234182
2021,400082929,中部鋼鈑株式会社,特定事業所排出者,鉄鋼業,愛知県名古屋市,217160
2021,450000028,イビデン株式会社,特定事業所排出者,電子部品・デバイス・電子回路製造業,岐阜県大垣市,217120
2021,985176001,栗田工業株式会社,特定事業所排出者,その他の製造業,東京都中野区,216456
2021,985033106,いすゞ自動車株式会社,特定事業所排出者,輸送用機械器具製造業,神奈川県横浜市,216000
2021,985744304,古河電気工業株式会社,特定事業所排出者,非鉄金属製造業,東京都千代田区,208901
2021,985821708,森永乳業株式会社,特定事業所排出者,食料品製造業,東京都港区,206504
2021,985660705,日本精工株式会社,特定事業所排出者,はん用機械器具製造業,東京都品川区,206118
2021,580013988,ＮＴＮ株式会社,特定事業所排出者,はん用機械器具製造業,大阪府大阪市,197450
2021,640006257,株式会社トクヤマ,特定荷主,化学工業,東京都千代田区,195395
2021,800089205,イオン九州株式会社,特定事業所排出者,各種商品小売業,福岡県福岡市,195147
2021,985495503,東京鐵鋼株式会社,特定事業所排出者,鉄鋼業,東京都千代田区,192809
2021,985754507,三菱食品株式会社,特定荷主,飲食料品卸売業,東京都文京区,191468
2021,985320900,昭和産業株式会社,特定事業所排出者,食料品製造業,東京都千代田区,188881
2021,10287750,イオン北海道株式会社,特定事業所排出者,各種商品小売業,北海道札幌市,188618
2021,985785601,三井金属鉱業株式会社,特定事業所排出者,非鉄金属製造業,東京都品川区,188336
2021,985732902,富士電機株式会社,特定事業所排出者,電気機械器具製造業,東京都品川区,186397
2021,400083612,中部電力株式会社,特定事業所排出者,電気業,愛知県名古屋市,183184
2021,985723402,リンテック株式会社,特定事業所排出者,パルプ・紙・紙加工品製造業,東京都板橋区,179415
2021,810000178,黒崎播磨株式会社,特定事業所排出者,窯業・土石製品製造業,福岡県北九州市,174339
2021,985187908,コニカミノルタ株式会社,特定事業所排出者,業務用機械器具製造業,東京都千代田区,170606
2021,985083805,小田急電鉄株式会社,特定旅客輸送事業者,鉄道業,東京都新宿区,162000
2021,650003624,太平洋セメント株式会社,特定荷主,窯業・土石製品製造業,東京都文京区,159025
2021,985347206,住友大阪セメント株式会社,特定荷主,窯業・土石製品製造業,東京都千代田区,158047
2021,985662808,日本曹達株式会社,特定事業所排出者,化学工業,東京都千代田区,154913
2021,330035060,ホクト株式会社,特定事業所排出者,農業,長野県長野市,154771
2021,986327914,ＪＸ金属株式会社,特定事業所排出者,非鉄金属製造業,東京都港区,153590
2021,985453639,株式会社ＬＩＸＩＬ,特定事業所排出者,金属製品製造業,東京都江東区,152757
2021,580349898,住友精化株式会社,特定事業所排出者,化学工業,大阪府大阪市,152700
2021,985615002,日清オイリオグループ株式会社,特定事業所排出者,食料品製造業,東京都中央区,151339
2021,985681302,日油株式会社,特定事業所排出者,化学工業,東京都渋谷区,145570
2021,380060884,株式会社クスリのアオキ,特定事業所排出者,その他の小売業,石川県白山市,144687
2021,270046172,株式会社マルエツ,特定事業所排出者,飲食料品小売業,東京都豊島区,143061
2021,600009030,カルビー株式会社,特定事業所排出者,食料品製造業,東京都千代田区,142103
2021,985023807,株式会社ＡＤＥＫＡ,特定事業所排出者,化学工業,東京都荒川区,137878
2021,570009570,堺化学工業株式会社,特定事業所排出者,化学工業,大阪府堺市,135788
2021,985466806,東海カーボン株式会社,特定事業所排出者,窯業・土石製品製造業,東京都港区,133929
2021,617015471,不二製油株式会社,特定事業所排出者,食料品製造業,大阪府泉佐野市,130427
2021,982941669,ミニストップ株式会社,特定事業所排出者,飲食料品小売業,千葉県千葉市,129278
2021,250294997,株式会社大阪チタニウムテクノロジーズ,特定事業所排出者,非鉄金属製造業,兵庫県尼崎市,129272
2021,580241811,ニプロ株式会社,特定事業所排出者,業務用機械器具製造業,大阪府大阪市,123576
2021,400014025,石塚硝子株式会社,特定事業所排出者,窯業・土石製品製造業,愛知県岩倉市,123413
2021,985338708,テルモ株式会社,特定事業所排出者,業務用機械器具製造業,東京都渋谷区,123318
2021,985645709,日本ケミコン株式会社,特定事業所排出者,電子部品・デバイス・電子回路製造業,東京都品川区,119761
2021,985836809,アステラス製薬株式会社,特定事業所排出者,学術・開発研究機関,東京都中央区,118445
2021,985081355,株式会社オリエンタルランド,特定事業所排出者,娯楽業,千葉県浦安市,116378
2021,350007367,北越メタル株式会社,特定事業所排出者,鉄鋼業,新潟県長岡市,115812
2021,270098231,株式会社ヤオコー,特定事業所排出者,飲食料品小売業,埼玉県川越市,114035
2021,540272822,株式会社トリドールホールディングス,特定事業所排出者,飲食店,東京都渋谷区,113362
2021,571018321,第一生命保険株式会社,特定事業所排出者,保険業（保険媒介代理業，保険サービス業を含む）,東京都千代田区,108951
2021,580006437,株式会社髙島屋,特定事業所排出者,各種商品小売業,東京都中央区,108600
2021,580046165,株式会社大紀アルミニウム工業所,特定事業所排出者,非鉄金属製造業,大阪府大阪市,108322
2021,985453639,株式会社ＬＩＸＩＬ,特定荷主,金属製品製造業,東京都江東区,107876
2021,710034905,大王製紙株式会社,特定荷主,パルプ・紙・紙加工品製造業,愛媛県四国中央市,104673
2021,260287664,株式会社サイゼリヤ,特定事業所排出者,飲食店,埼玉県吉川市,100628
2021,985114901,花王株式会社,特定荷主,化学工業,東京都中央区,100494
2021,985083805,小田急電鉄株式会社,特定事業所排出者,不動産賃貸業・管理業,東京都新宿区,98098
2021,520003569,株式会社オークワ,特定事業所排出者,各種商品小売業,和歌山県和歌山市,97735
2021,985661103,日本精蝋株式会社,特定事業所排出者,石油製品・石炭製品製造業,東京都中央区,96362
2021,570091283,コーナン商事株式会社,特定事業所排出者,その他の小売業,大阪府大阪市,95699
2021,981158621,日本ビルファンド投資法人,特定事業所排出者,不動産賃貸業・管理業,東京都中央区,94574
2021,985821708,森永乳業株式会社,特定荷主,食料品製造業,東京都港区,92947
2021,982960664,株式会社共立メンテナンス,特定事業所排出者,宿泊業,東京都千代田区,92637
2021,570153930,株式会社ラウンドワン,特定事業所排出者,娯楽業,大阪府大阪市,91651
2021,500025003,三洋化成工業株式会社,特定事業所排出者,化学工業,京都府京都市,91146
2021,985741607,株式会社フジクラ,特定事業所排出者,非鉄金属製造業,東京都江東区,88664
2021,710013431,大倉工業株式会社（香川県）,特定事業所排出者,プラスチック製品製造業（別掲を除く）,香川県丸亀市,85836
2021,985180891,京成電鉄株式会社,特定旅客輸送事業者,鉄道業,千葉県市川市,84600
2021,200270020,日本発条株式会社,特定事業所排出者,金属製品製造業,神奈川県横浜市,83935
2021,985132605,ＫＹＢ株式会社,特定事業所排出者,輸送用機械器具製造業,東京都港区,83369
2021,400190149,ＴＨＫ株式会社,特定事業所排出者,生産用機械器具製造業,東京都港区,82308
2021,390001321,セーレン株式会社,特定事業所排出者,繊維工業,福井県福井市,80399
2021,985795009,三菱電機株式会社,特定荷主,電気機械器具製造業,東京都千代田区,80196
2021,620012613,株式会社ハローズ,特定事業所排出者,飲食料品小売業,岡山県早島町,79545
2021,830146071,株式会社ジョイフル,特定事業所排出者,飲食店,大分県大分市,79250
2021,401103872,コカ・コーラボトラーズジャパン株式会社,特定荷主,飲料・たばこ・飼料製造業,東京都港区,78643
2021,580016326,南海電気鉄道株式会社,特定旅客輸送事業者,鉄道業,大阪府大阪市,78300
2021,580303057,扶桑化学工業株式会社,特定事業所排出者,化学工業,大阪府大阪市,77127
2021,985433037,中外製薬株式会社,特定事業所排出者,化学工業,東京都中央区,76041
2021,986306852,王子マテリア株式会社,特定荷主,パルプ・紙・紙加工品製造業,東京都中央区,74985
2021,200137262,神奈川中央交通株式会社,特定旅客輸送事業者,道路旅客運送業,神奈川県平塚市,74900
2021,985314902,ヒューリック株式会社,特定事業所排出者,不動産賃貸業・管理業,東京都中央区,71513
2021,580005171,塩野義製薬株式会社,特定事業所排出者,化学工業,大阪府大阪市,71062
2021,985003107,アルプスアルパイン株式会社,特定事業所排出者,電子部品・デバイス・電子回路製造業,東京都大田区,69728
2021,985650905,株式会社ニコン,特定事業所排出者,生産用機械器具製造業,東京都港区,69700
2021,985742702,藤森工業株式会社,特定事業所排出者,プラスチック製品製造業（別掲を除く）,東京都文京区,67989
2021,502010860,株式会社吉野家,特定事業所排出者,飲食店,東京都中央区,66550
2021,985754507,三菱食品株式会社,特定事業所排出者,飲食料品卸売業,東京都文京区,66360
2021,580322544,丸大食品株式会社,特定事業所排出者,食料品製造業,大阪府高槻市,66300
2021,400091759,東邦ガス株式会社,特定事業所排出者,ガス業,愛知県名古屋市,65726
2021,985324604,ＳＭＣ株式会社,特定事業所排出者,はん用機械器具製造業,東京都千代田区,65637
2021,580363860,積水ハウス株式会社,特定事業所排出者,総合工事業,大阪府大阪市,64839
2021,989800420,株式会社丸井,特定事業所排出者,各種商品小売業,東京都中野区,64451
2021,640351830,東ソー株式会社,特定荷主,化学工業,東京都港区,64202
2021,985710807,日立建機株式会社,特定事業所排出者,生産用機械器具製造業,東京都台東区,64162
2021,985347402,住友ベークライト株式会社,特定事業所排出者,プラスチック製品製造業（別掲を除く）,東京都品川区,63939
2021,580005529,株式会社栗本鐵工所,特定事業所排出者,鉄鋼業,大阪府大阪市,63375
2021,580006446,レンゴー株式会社,特定荷主,パルプ・紙・紙加工品製造業,大阪府大阪市,62938
2021,982620116,株式会社サンドラッグ,特定事業所排出者,その他の小売業,東京都府中市,62228
2021,201738294,ルネサスエレクトロニクス株式会社,特定事業所排出者,電子部品・デバイス・電子回路製造業,東京都江東区,62199
2021,400095186,トヨタ紡織株式会社,特定事業所排出者,輸送用機械器具製造業,愛知県刈谷市,61903
2021,600145238,ダイキョーニシカワ株式会社,特定事業所排出者,プラスチック製品製造業（別掲を除く）,広島県東広島市,61728
2021,985432451,日本シイエムケイ株式会社,特定事業所排出者,電子部品・デバイス・電子回路製造業,東京都新宿区,60715
2021,620018223,リョービ株式会社,特定事業所排出者,非鉄金属製造業,広島県府中市,58811
2021,600002843,マツダ株式会社,特定荷主,輸送用機械器具製造業,広島県府中町,58568
2021,200312513,横浜冷凍株式会社,特定事業所排出者,倉庫業,神奈川県横浜市,58122
2021,985757509,本田技研工業株式会社,特定荷主,輸送用機械器具製造業,東京都港区,57313
2021,985651608,日本航空株式会社,特定事業所排出者,航空運輸業,東京都品川区,57271
2021,988946850,日本郵政株式会社,特定事業所排出者,宿泊業,東京都千代田区,56954
2021,985186105,株式会社小糸製作所,特定事業所排出者,電気機械器具製造業,東京都港区,56757
2021,985434802,株式会社ツムラ,特定事業所排出者,化学工業,東京都港区,56502
2021,270074650,株式会社マミーマート,特定事業所排出者,飲食料品小売業,埼玉県さいたま市,56396
2021,580270018,ＳＣＳＫ株式会社,特定事業所排出者,情報サービス業,東京都江東区,56075
2021,240100614,株式会社カワチ薬品,特定事業所排出者,その他の小売業,栃木県小山市,55757
2021,450131816,株式会社セリア,特定事業所排出者,その他の小売業,岐阜県大垣市,55171
2021,985302401,株式会社資生堂,特定事業所排出者,化学工業,東京都港区,55095
2021,400083102,中部飼料株式会社,特定事業所排出者,飲料・たばこ・飼料製造業,愛知県名古屋市,54986
2021,985070306,エーザイ株式会社,特定事業所排出者,化学工業,東京都文京区,54149
2021,985656604,日本水産株式会社,特定事業所排出者,食料品製造業,東京都港区,54137
2021,580045257,岩谷産業株式会社,特定荷主,各種商品卸売業,大阪府大阪市,53171
2021,985794745,三菱倉庫株式会社,特定事業所排出者,倉庫業,東京都中央区,52904
2021,10172180,株式会社トーモク,特定事業所排出者,パルプ・紙・紙加工品製造業,東京都千代田区,52229
2021,530138124,ケンコーマヨネーズ株式会社,特定事業所排出者,食料品製造業,東京都杉並区,51516
2021,610005384,岡山県貨物運送株式会社,特定貨物輸送事業者,道路貨物運送業,岡山県岡山市,51500
2021,985634106,ニチアス株式会社,特定事業所排出者,窯業・土石製品製造業,東京都中央区,51282
2021,980955066,株式会社野村総合研究所,特定事業所排出者,情報サービス業,東京都千代田区,51144
2021,620031360,青山商事株式会社,特定事業所排出者,織物・衣服・身の回り品小売業,広島県福山市,51082
2021,580010691,住友ファーマ株式会社,特定事業所排出者,化学工業,大阪府大阪市,50977
2021,985052200,市光工業株式会社,特定事業所排出者,電気機械器具製造業,神奈川県伊勢原市,50359
2021,985722307,プリマハム株式会社,特定事業所排出者,食料品製造業,東京都品川区,50157
2021,580068000,丸一鋼管株式会社,特定事業所排出者,鉄鋼業,大阪府大阪市,49199
2021,350167861,株式会社原信,特定事業所排出者,飲食料品小売業,新潟県長岡市,48961
2021,988230127,株式会社ルネサンス,特定事業所排出者,娯楽業,東京都墨田区,48424
2021,985024303,東海運株式会社,特定貨物輸送事業者,水運業,東京都中央区,48300
2021,982926789,株式会社ビックカメラ,特定事業所排出者,各種商品小売業,東京都豊島区,47695
2021,985164206,協和キリン株式会社,特定事業所排出者,化学工業,東京都千代田区,47200
2021,986126068,合同酒精株式会社,特定事業所排出者,飲料・たばこ・飼料製造業,東京都墨田区,47042
2021,580464236,株式会社ダスキン,特定事業所排出者,その他の事業サービス業,大阪府吹田市,46142
2021,985615002,日清オイリオグループ株式会社,特定荷主,食料品製造業,東京都中央区,46097
2021,985022102,ＡＧＣ株式会社,特定荷主,窯業・土石製品製造業,東京都千代田区,45640
2021,580009386,鴻池運輸株式会社,特定事業所排出者,道路貨物運送業,大阪府大阪市,45595
2021,580003435,株式会社ヨータイ,特定事業所排出者,窯業・土石製品製造業,大阪府貝塚市,45516
2021,730016870,ニッポン高度紙工業株式会社,特定事業所排出者,パルプ・紙・紙加工品製造業,高知県高知市,45288
2021,985554909,株式会社巴川製紙所,特定事業所排出者,プラスチック製品製造業（別掲を除く）,東京都中央区,44591
2021,580305267,東和薬品株式会社,特定事業所排出者,化学工業,大阪府門真市,43189
2021,160049418,株式会社ヤマザワ,特定事業所排出者,各種商品小売業,山形県山形市,42876
2021,440105474,フタバ産業株式会社,特定事業所排出者,輸送用機械器具製造業,愛知県岡崎市,42602
2021,400108408,株式会社デンソー,特定荷主,輸送用機械器具製造業,愛知県刈谷市,42490
2021,400471364,株式会社東祥,特定事業所排出者,娯楽業,愛知県安城市,42083
2021,190109698,株式会社幸楽苑ホールディングス,特定事業所排出者,飲食店,福島県郡山市,41353
2021,985463500,東亜道路工業株式会社,特定事業所排出者,総合工事業,東京都港区,41163
2021,985494373,東京建物株式会社,特定事業所排出者,不動産賃貸業・管理業,東京都中央区,41100
2021,985675001,株式会社ニッピ,特定事業所排出者,なめし革・同製品・毛皮製造業,東京都足立区,41083
2021,989455097,株式会社ゆうちょ銀行,特定事業所排出者,銀行業,東京都千代田区,40873
2021,985525406,東邦化学工業株式会社,特定事業所排出者,化学工業,東京都中央区,40807
2021,985197806,高周波熱錬株式会社,特定事業所排出者,金属製品製造業,東京都品川区,40633
2021,580000952,荒川化学工業株式会社,特定事業所排出者,化学工業,大阪府大阪市,40565
2021,400027300,カゴメ株式会社,特定事業所排出者,飲料・たばこ・飼料製造業,東京都中央区,40391
2021,200261620,古河電池株式会社,特定事業所排出者,電気機械器具製造業,神奈川県横浜市,39834
2021,985142906,キユーピー株式会社,特定事業所排出者,食料品製造業,東京都渋谷区,39639
2021,620059674,株式会社やまみ,特定事業所排出者,食料品製造業,広島県三原市,39615
2021,400080568,中央発條株式会社,特定事業所排出者,金属製品製造業,愛知県名古屋市,39252
2021,10515926,株式会社丸千代山岡家,特定事業所排出者,飲食店,北海道札幌市,39221
2021,985115201,鹿島建設,特定事業所排出者,総合工事業,東京都港区,38989
2021,965006738,デクセリアルズ株式会社,特定事業所排出者,電子部品・デバイス・電子回路製造業,栃木県下野市,38435
2021,580013638,倉敷紡績株式会社,特定事業所排出者,繊維工業,大阪府大阪市,38211
2021,440007606,株式会社物語コーポレーション,特定事業所排出者,飲食店,愛知県豊橋市,37505
2021,985033106,いすゞ自動車株式会社,特定荷主,輸送用機械器具製造業,神奈川県横浜市,37402
2021,650010020,チタン工業株式会社,特定事業所排出者,化学工業,山口県宇部市,37278
2021,985644505,日本金属株式会社,特定事業所排出者,鉄鋼業,東京都港区,37141
2021,580016326,南海電気鉄道株式会社,特定事業所排出者,鉄道業,大阪府大阪市,37091
2021,985660302,日本ゼオン株式会社,特定荷主,化学工業,東京都千代田区,36941
2021,340022771,一正蒲鉾株式会社,特定事業所排出者,食料品製造業,新潟県新潟市,36845
2021,985154907,共同印刷株式会社,特定事業所排出者,印刷・同関連業,東京都文京区,36159
2021,570009417,株式会社シマノ,特定事業所排出者,輸送用機械器具製造業,大阪府堺市,36154
2021,580087186,大阪有機化学工業株式会社,特定事業所排出者,化学工業,大阪府大阪市,36135
2021,988792136,第一三共株式会社,特定事業所排出者,化学工業,東京都中央区,35125
2021,980012097,三井住友海上火災保険株式会社,特定事業所排出者,保険業（保険媒介代理業，保険サービス業を含む）,東京都千代田区,34968
2021,580025611,南海化学株式会社,特定事業所排出者,化学工業,大阪府大阪市,34948
2021,450001320,太平洋工業株式会社,特定事業所排出者,輸送用機械器具製造業,岐阜県大垣市,34905
2021,360000065,株式会社有沢製作所,特定事業所排出者,化学工業,新潟県上越市,34879
2021,985545301,株式会社ティラド,特定事業所排出者,輸送用機械器具製造業,東京都渋谷区,34747
2021,400203784,カネ美食品株式会社,特定事業所排出者,飲食料品小売業,愛知県名古屋市,34605
2021,430105873,スズキ株式会社,特定荷主,輸送用機械器具製造業,静岡県浜松市,34504
2021,580033041,関西ペイント株式会社,特定事業所排出者,化学工業,大阪府大阪市,34459
2021,985445109,株式会社帝国ホテル,特定事業所排出者,宿泊業,東京都千代田区,34406
2021,500011492,株式会社島津製作所,特定事業所排出者,業務用機械器具製造業,京都府京都市,34241
2021,450014730,ハビックス株式会社,特定事業所排出者,パルプ・紙・紙加工品製造業,岐阜県岐阜市,33937
2021,985451705,デンカ株式会社,特定荷主,化学工業,東京都中央区,33865
2021,985821600,森永製菓株式会社,特定事業所排出者,食料品製造業,東京都港区,33777
2021,270041846,株式会社本田技術研究所,特定事業所排出者,輸送用機械器具製造業,埼玉県和光市,33139
2021,400072412,大同特殊鋼株式会社,特定荷主,鉄鋼業,愛知県東海市,32442
