全国のコンビニエンスストアの前年比,,,
,,,
,,,
type,pref,year,yoy
販売額,北海道,2021年度,2
販売額,北海道,2022年度,5.6
販売額,北海道,2023年度,5.8
販売額,青森県,2021年度,1.9
販売額,青森県,2022年度,4.4
販売額,青森県,2023年度,2.7
販売額,岩手県,2021年度,-0.9
販売額,岩手県,2022年度,2.7
販売額,岩手県,2023年度,1.2
販売額,宮城県,2021年度,1.1
販売額,宮城県,2022年度,3.6
販売額,宮城県,2023年度,2.1
販売額,秋田県,2021年度,1.5
販売額,秋田県,2022年度,6.8
販売額,秋田県,2023年度,-0.9
販売額,山形県,2021年度,1.1
販売額,山形県,2022年度,3.8
販売額,山形県,2023年度,2
販売額,福島県,2021年度,-0.7
販売額,福島県,2022年度,2.5
販売額,福島県,2023年度,1.5
販売額,茨城県,2021年度,1.3
販売額,茨城県,2022年度,4
販売額,茨城県,2023年度,2.2
販売額,栃木県,2021年度,1.4
販売額,栃木県,2022年度,4.2
販売額,栃木県,2023年度,2
販売額,群馬県,2021年度,0.7
販売額,群馬県,2022年度,3.6
販売額,群馬県,2023年度,1.9
販売額,埼玉県,2021年度,2.7
販売額,埼玉県,2022年度,3.1
販売額,埼玉県,2023年度,2.4
販売額,千葉県,2021年度,2.4
販売額,千葉県,2022年度,4.1
販売額,千葉県,2023年度,3.3
販売額,東京都,2021年度,3
販売額,東京都,2022年度,5.4
販売額,東京都,2023年度,6.6
販売額,神奈川県,2021年度,2.1
販売額,神奈川県,2022年度,3.3
販売額,神奈川県,2023年度,3.1
販売額,新潟県,2021年度,1.5
販売額,新潟県,2022年度,4.2
販売額,新潟県,2023年度,2.2
販売額,富山県,2021年度,2.6
販売額,富山県,2022年度,3.4
販売額,富山県,2023年度,2.3
販売額,石川県,2021年度,1.8
販売額,石川県,2022年度,4.3
販売額,石川県,2023年度,4
販売額,福井県,2021年度,-3.1
販売額,福井県,2022年度,-3.3
販売額,福井県,2023年度,1.2
販売額,山梨県,2021年度,3.2
販売額,山梨県,2022年度,5.8
販売額,山梨県,2023年度,3.8
販売額,長野県,2021年度,1.7
販売額,長野県,2022年度,5.1
販売額,長野県,2023年度,3.3
販売額,岐阜県,2021年度,2.7
販売額,岐阜県,2022年度,-0.1
販売額,岐阜県,2023年度,2.1
販売額,静岡県,2021年度,0.4
販売額,静岡県,2022年度,2.9
販売額,静岡県,2023年度,1.4
販売額,愛知県,2021年度,2.5
販売額,愛知県,2022年度,2.1
販売額,愛知県,2023年度,2.7
販売額,三重県,2021年度,-0.3
販売額,三重県,2022年度,3
販売額,三重県,2023年度,1.6
販売額,滋賀県,2021年度,1.9
販売額,滋賀県,2022年度,4.8
販売額,滋賀県,2023年度,1.6
販売額,京都府,2021年度,4.4
販売額,京都府,2022年度,4.3
販売額,京都府,2023年度,5.4
販売額,大阪府,2021年度,3.4
販売額,大阪府,2022年度,12.2
販売額,大阪府,2023年度,6.7
販売額,兵庫県,2021年度,3.3
販売額,兵庫県,2022年度,4.9
販売額,兵庫県,2023年度,2.3
販売額,奈良県,2021年度,0.6
販売額,奈良県,2022年度,3.5
販売額,奈良県,2023年度,2.5
販売額,和歌山県,2021年度,1.1
販売額,和歌山県,2022年度,2.3
販売額,和歌山県,2023年度,1.6
販売額,鳥取県,2021年度,0.9
販売額,鳥取県,2022年度,2.4
販売額,鳥取県,2023年度,2.3
販売額,島根県,2021年度,12.1
販売額,島根県,2022年度,-3.6
販売額,島根県,2023年度,0.7
販売額,岡山県,2021年度,3.3
販売額,岡山県,2022年度,3.8
販売額,岡山県,2023年度,2.3
販売額,広島県,2021年度,3.4
販売額,広島県,2022年度,3.8
販売額,広島県,2023年度,2.2
販売額,山口県,2021年度,2
販売額,山口県,2022年度,4.9
販売額,山口県,2023年度,-0.8
販売額,徳島県,2021年度,1.8
販売額,徳島県,2022年度,3.6
販売額,徳島県,2023年度,2.3
販売額,香川県,2021年度,2.2
販売額,香川県,2022年度,4.4
販売額,香川県,2023年度,1.6
販売額,愛媛県,2021年度,1.9
販売額,愛媛県,2022年度,4.9
販売額,愛媛県,2023年度,2
販売額,高知県,2021年度,1.8
販売額,高知県,2022年度,3.2
販売額,高知県,2023年度,2.4
販売額,福岡県,2021年度,2.7
販売額,福岡県,2022年度,5.5
販売額,福岡県,2023年度,3
販売額,佐賀県,2021年度,2.2
販売額,佐賀県,2022年度,5.4
販売額,佐賀県,2023年度,2.7
販売額,長崎県,2021年度,6.8
販売額,長崎県,2022年度,1.7
販売額,長崎県,2023年度,3.4
販売額,熊本県,2021年度,1
販売額,熊本県,2022年度,4.5
販売額,熊本県,2023年度,3.9
販売額,大分県,2021年度,2.5
販売額,大分県,2022年度,5.5
販売額,大分県,2023年度,3.3
販売額,宮崎県,2021年度,2.3
販売額,宮崎県,2022年度,6.8
販売額,宮崎県,2023年度,2.5
販売額,鹿児島県,2021年度,2.2
販売額,鹿児島県,2022年度,6
販売額,鹿児島県,2023年度,3
販売額,沖縄県,2021年度,7.4
販売額,沖縄県,2022年度,7.5
販売額,沖縄県,2023年度,9.4
店舗数,北海道,2021年度,0.1
店舗数,北海道,2022年度,0
店舗数,北海道,2023年度,0.8
店舗数,青森県,2021年度,0.2
店舗数,青森県,2022年度,-0.5
店舗数,青森県,2023年度,0
店舗数,岩手県,2021年度,-0.9
店舗数,岩手県,2022年度,0.7
店舗数,岩手県,2023年度,-0.6
店舗数,宮城県,2021年度,0.5
店舗数,宮城県,2022年度,-0.6
店舗数,宮城県,2023年度,-0.9
店舗数,秋田県,2021年度,0.4
店舗数,秋田県,2022年度,-0.7
店舗数,秋田県,2023年度,-2.7
店舗数,山形県,2021年度,-0.4
店舗数,山形県,2022年度,-0.7
店舗数,山形県,2023年度,-1.4
店舗数,福島県,2021年度,-0.4
店舗数,福島県,2022年度,-1.9
店舗数,福島県,2023年度,-0.2
店舗数,茨城県,2021年度,-1.6
店舗数,茨城県,2022年度,-1.4
店舗数,茨城県,2023年度,-0.2
店舗数,栃木県,2021年度,0.1
店舗数,栃木県,2022年度,0.2
店舗数,栃木県,2023年度,-0.6
店舗数,群馬県,2021年度,0.6
店舗数,群馬県,2022年度,-0.7
店舗数,群馬県,2023年度,-0.7
店舗数,埼玉県,2021年度,-0.1
店舗数,埼玉県,2022年度,-0.2
店舗数,埼玉県,2023年度,-0.5
店舗数,千葉県,2021年度,0.5
店舗数,千葉県,2022年度,-0.5
店舗数,千葉県,2023年度,-0.4
店舗数,東京都,2021年度,-0.2
店舗数,東京都,2022年度,-0.2
店舗数,東京都,2023年度,-0.6
店舗数,神奈川県,2021年度,0.1
店舗数,神奈川県,2022年度,-0.3
店舗数,神奈川県,2023年度,0
店舗数,新潟県,2021年度,-0.9
店舗数,新潟県,2022年度,-1.8
店舗数,新潟県,2023年度,-0.7
店舗数,富山県,2021年度,-1.2
店舗数,富山県,2022年度,-0.8
店舗数,富山県,2023年度,-1.7
店舗数,石川県,2021年度,-0.8
店舗数,石川県,2022年度,-0.6
店舗数,石川県,2023年度,-2.9
店舗数,福井県,2021年度,-1.2
店舗数,福井県,2022年度,-0.6
店舗数,福井県,2023年度,-1.8
店舗数,山梨県,2021年度,-0.2
店舗数,山梨県,2022年度,-1.3
店舗数,山梨県,2023年度,-0.2
店舗数,長野県,2021年度,-0.1
店舗数,長野県,2022年度,-1.1
店舗数,長野県,2023年度,-1
店舗数,岐阜県,2021年度,-0.2
店舗数,岐阜県,2022年度,-0.9
店舗数,岐阜県,2023年度,-1.7
店舗数,静岡県,2021年度,-0.1
店舗数,静岡県,2022年度,-1.2
店舗数,静岡県,2023年度,-0.3
店舗数,愛知県,2021年度,-0.3
店舗数,愛知県,2022年度,-0.6
店舗数,愛知県,2023年度,-0.8
店舗数,三重県,2021年度,-0.3
店舗数,三重県,2022年度,-0.1
店舗数,三重県,2023年度,0
店舗数,滋賀県,2021年度,-2
店舗数,滋賀県,2022年度,-1.3
店舗数,滋賀県,2023年度,-0.9
店舗数,京都府,2021年度,0.2
店舗数,京都府,2022年度,-0.6
店舗数,京都府,2023年度,0
店舗数,大阪府,2021年度,1.6
店舗数,大阪府,2022年度,0.6
店舗数,大阪府,2023年度,-0.3
店舗数,兵庫県,2021年度,1.3
店舗数,兵庫県,2022年度,-0.4
店舗数,兵庫県,2023年度,-1
店舗数,奈良県,2021年度,-1.3
店舗数,奈良県,2022年度,-1.5
店舗数,奈良県,2023年度,-0.4
店舗数,和歌山県,2021年度,-1.3
店舗数,和歌山県,2022年度,-0.3
店舗数,和歌山県,2023年度,-0.5
店舗数,鳥取県,2021年度,0
店舗数,鳥取県,2022年度,1.2
店舗数,鳥取県,2023年度,-1.2
店舗数,島根県,2021年度,-0.7
店舗数,島根県,2022年度,-0.4
店舗数,島根県,2023年度,0.4
店舗数,岡山県,2021年度,1.9
店舗数,岡山県,2022年度,0.5
店舗数,岡山県,2023年度,-1
店舗数,広島県,2021年度,3.9
店舗数,広島県,2022年度,-0.6
店舗数,広島県,2023年度,-0.2
店舗数,山口県,2021年度,0.5
店舗数,山口県,2022年度,-0.5
店舗数,山口県,2023年度,-0.7
店舗数,徳島県,2021年度,-0.6
店舗数,徳島県,2022年度,0.6
店舗数,徳島県,2023年度,-0.3
店舗数,香川県,2021年度,0
店舗数,香川県,2022年度,-1.2
店舗数,香川県,2023年度,-0.5
店舗数,愛媛県,2021年度,0
店舗数,愛媛県,2022年度,-0.5
店舗数,愛媛県,2023年度,-1.4
店舗数,高知県,2021年度,-0.7
店舗数,高知県,2022年度,1.1
店舗数,高知県,2023年度,-2.1
店舗数,福岡県,2021年度,0.1
店舗数,福岡県,2022年度,-0.5
店舗数,福岡県,2023年度,0.3
店舗数,佐賀県,2021年度,-0.3
店舗数,佐賀県,2022年度,1.7
店舗数,佐賀県,2023年度,1.7
店舗数,長崎県,2021年度,2.3
店舗数,長崎県,2022年度,-0.6
店舗数,長崎県,2023年度,0.2
店舗数,熊本県,2021年度,-0.3
店舗数,熊本県,2022年度,-0.1
店舗数,熊本県,2023年度,1
店舗数,大分県,2021年度,0.2
店舗数,大分県,2022年度,1.6
店舗数,大分県,2023年度,-0.4
店舗数,宮崎県,2021年度,0.9
店舗数,宮崎県,2022年度,0
店舗数,宮崎県,2023年度,1.1
店舗数,鹿児島県,2021年度,0.8
店舗数,鹿児島県,2022年度,-0.1
店舗数,鹿児島県,2023年度,0.3
店舗数,沖縄県,2021年度,8.1
店舗数,沖縄県,2022年度,4.5
店舗数,沖縄県,2023年度,4
